date,open,high,low,close,volume,macd,signal,Upper_Band,Lower_Band,BB_Width,RSI_14,RSI_5,RSI_9,EMA_50,EMA_200,average_true_range,adx,bull_market,drawdown
2026-03-13,6673.490234375,6733.2998046875,6623.919921875,6632.18994140625,5337120000,-50.826248925177424,-28.91757332467543,6983.652953415812,6675.382007521689,308.27094589412263,33.15000815239554,18.528330678070745,27.460847279367115,6844.6588856134895,6592.377637709868,90.92191856797227,42.89806027362278,1,-0.04963891774889655
2026-03-12,6740.8798828125,6740.8798828125,6670.39990234375,6672.6201171875,6292170000,-40.36732884621779,-23.440404424549925,6964.325506960347,6714.766436399028,249.55907056131946,35.44395500446987,22.247224216896868,30.408375817261216,6853.331087417867,6591.977514054628,88.08223176112185,39.69035929566012,1,-0.04384546702590292
2026-03-11,6790.08984375,6811.14990234375,6745.58984375,6775.7998046875,5511090000,-30.54730942358401,-19.208673319132956,6959.534198034946,6746.442755090055,213.09144294489124,42.39630476815983,37.69342162062561,40.195573829379946,6860.7070453864535,6591.167035631182,90.79027042148674,36.84389799104185,1,-0.029060311542548498
2026-03-10,6796.56005859375,6845.080078125,6759.740234375,6781.47998046875,5944950000,-28.074637405258727,-16.37401429302019,6968.352676817159,6754.225301698466,214.12737511869273,42.82571954891636,38.88235032534341,40.83878414333821,6864.172647047635,6589.311429912023,94.67184147190778,35.31969028057722,1,-0.028246369533870042
2026-03-09,6699.7998046875,6810.43994140625,6636.0400390625,6795.990234375,6709410000,-25.08859556461175,-13.448858514960554,6979.983737706024,6760.928225184601,219.05551252142322,43.87997015647293,41.56141895984378,42.37864892870821,6867.547857928405,6587.380087695373,96.10753342912436,33.94372558457385,1,-0.026167119583565074
2026-03-06,6769.02978515625,6773.419921875,6711.56005859375,6740.02001953125,5793120000,-22.389802986610448,-10.538924252547751,6984.35287104247,6770.1900488794045,214.16282216306536,38.45319287996738,25.78100695825526,33.8231506121744,6870.468577257116,6585.283503306632,84.06255359610503,29.91408471032143,1,-0.034187383542026814
2026-03-05,6851.080078125,6870.43017578125,6770.77978515625,6830.7099609375,5989300000,-12.920706904975304,-7.5762045690320745,6974.577420533521,6785.803487669605,188.77393286391634,45.00043286144234,39.66519089985727,43.02384804154413,6875.793008184702,6583.7283624400525,87.47835210608274,26.874082827949238,1,-0.021191948907979215
2026-03-04,6831.68994140625,6885.93994140625,6811.64013671875,6869.5,5252170000,-9.880644385341839,-6.2400789850462655,6974.4068216706055,6791.175111923145,183.23170974746063,48.26426619278722,48.62582005166267,47.986761524692724,6877.633132562139,6581.246135319475,85.60573079548008,25.047147073563185,1,-0.01563352192840095
2026-03-03,6800.259765625,6840.0498046875,6710.419921875,6816.6298828125,6442080000,-9.806231919223137,-5.329937634972371,6977.835102691794,6792.57783676133,185.2572659304642,43.03521203521986,31.835075416130877,39.53676869902145,6877.965097156512,6578.349111553841,87.34510404286164,24.344869803410084,1,-0.023209556727308015
2026-03-02,6824.35986328125,6901.009765625,6796.85009765625,6881.6201171875,6079080000,-4.185479248187221,-4.210864063909678,6988.322314774528,6798.071630537972,190.25068423655648,48.647591352756905,46.913230772952716,48.06972187307082,6880.468575293002,6575.954329933151,80.83975346291727,20.14736286619087,1,-0.013896767132611674
2026-02-27,6856.5400390625,6882.9599609375,6831.740234375,6878.8798828125,6665660000,-3.5676627317288876,-4.217210267840293,6993.068469643103,6799.066442466273,194.00202717682987,48.384041981526124,46.051339283691924,47.64624164434255,6880.421573583022,6572.882311970795,77.25207430817379,18.159080394943334,1,-0.01428942960598084
2026-02-26,6944.740234375,6947.25,6859.72998046875,6908.85986328125,5889550000,-2.448205238260016,-4.379597151868144,7002.22529671724,6798.922603673384,203.30269304385547,51.045486810869,53.67926550565143,51.750330256690894,6880.484499736921,6569.806959500024,81.2570508844313,17.4612010196788,1,-0.009993441864998415
2026-02-25,6915.14990234375,6952.509765625,6915.14990234375,6946.1298828125,5328060000,-4.036267245402996,-4.862445130270176,7011.136608073583,6796.928284504541,214.20832356904248,54.50653365078134,64.26605045304728,57.19431217373054,6879.326321633071,6566.399392627851,80.29351724645919,18.09271686216679,1,-0.00465282641065148
2026-02-24,6837.3701171875,6899.169921875,6815.43017578125,6890.06982421875,5266090000,-9.799268126860625,-5.068989601486971,7016.192767265487,6795.119146797013,221.07362046847447,49.74752097581378,53.14662591097327,50.18819808403837,6876.599645666563,6562.583005791825,83.040221221876,19.445023862983458,1,-0.012685964548567947
2026-02-23,6901.25,6916.9599609375,6819.81982421875,6837.75,5638350000,-11.304484840530677,-3.8864199701435567,7020.605812151318,6796.722117536183,223.88369461513503,44.737666669551686,38.9668319054588,42.36212514067905,6876.049842460351,6559.291680983514,82.93260201081846,19.974637737654483,1,-0.020183144998314813
2026-02-20,6843.259765625,6915.85986328125,6836.330078125,6909.509765625,5432480000,-7.734150473296722,-2.031903752546776,7019.674867876227,6805.439048139398,214.2358197368285,51.24407499999625,58.33996999070263,52.39895258896426,6877.613101336283,6556.493104912996,80.74682744036745,20.848109543935905,1,-0.009900313969051453
2026-02-19,6861.33984375,6879.1201171875,6833.06005859375,6861.89013671875,5151690000,-10.371057646779263,-0.606342072359288,7019.85811460636,6805.639834612391,214.2182799939692,46.44462632658159,43.40156259765048,44.66562928269593,6876.311196671437,6552.945198775187,80.93406471484707,22.79044822275889,1,-0.016723978921889624
2026-02-18,6855.47998046875,6909.1201171875,6849.66015625,6881.31005859375,5098160000,-8.73731429379859,1.8348368212457067,7019.4018309337525,6807.469116331872,211.93271460188043,48.242978967259255,49.15164752349146,47.46069963336603,6876.8998113633825,6549.840224524498,86.29929642578507,22.395504402394465,1,-0.013941197045403803
