date,open,high,low,close,volume,macd,signal,Upper_Band,Lower_Band,BB_Width,RSI_14,RSI_5,RSI_9,EMA_50,EMA_200,average_true_range,adx,bull_market,drawdown
2026-02-25,25137.720703125,25343.970703125,25137.619140625,25329.0390625,8427450000,-124.07886798188702,-146.74429320666923,25941.474319320074,24308.049118179926,1633.4252011401477,53.161425740975204,66.82453961206645,57.16867879909914,25203.342675078107,24094.670559494632,392.8454438842311,22.3097908660263,1,-0.030276228948544953
2026-02-24,24763.83984375,25022.919921875,24643.689453125,24977.0390625,7932270000,-166.29391074369778,-152.41064951286478,26042.867654664984,24267.725900022513,1775.141754642471,47.31836222257551,53.651330895938656,48.63424567206149,25198.212210285375,24082.264845896585,396.83218284722955,22.201986673436394,1,-0.04375256994070975
2026-02-23,24935.51953125,24984.8203125,24618.23046875,24708.939453125,8263920000,-181.91687014870695,-148.93983420515653,26107.67134436585,24276.53939782165,1831.1319465441993,42.22060993903217,38.85836899036192,40.62444121640544,25207.239685705186,24073.272140202076,399.5401388622191,24.890956814529716,1,-0.054016779474242944
2026-02-20,24637.3203125,25077.560546875,24633.599609375,25012.619140625,8063070000,-171.91399697876113,-140.69557521926887,26141.20384362921,24332.660023558292,1808.5438200709177,47.00465434996893,54.66999096527499,48.190644763540384,25227.578470708457,24066.883523991793,404.6094150333972,27.37373024907988,1,-0.04239038452781099
2026-02-19,24771.650390625,24890.119140625,24690.869140625,24797.33984375,6984780000,-187.5662047457772,-132.8909697793958,26168.26811904734,24356.168795015157,1812.099324032184,42.73320334479486,41.07137651751872,41.30174598495932,25236.352320915943,24057.378643422617,398.5553346538269,30.429871204140934,1,-0.05063236524724559
2026-02-18,24744.880859375,25057.2109375,24696.830078125,24898.869140625,7705590000,-182.89655732900428,-119.22216103780039,26169.436448814493,24407.92448868551,1761.5119601289844,44.29676174784552,46.31334089144715,43.73986941436714,25254.27119753496,24049.941847439426,429.21769383188195,31.171187706204652,1,-0.04674531006150061
2026-02-17,24567.5390625,24818.30078125,24387.470703125,24701.599609375,7654300000,-184.61358989334985,-103.30356196499936,26166.84048885791,24419.39056582959,1747.4499230283182,40.359698035807355,33.02670271166602,37.352744039055054,25268.777403939446,24041.409914844593,439.80797605623417,32.079912102119216,1,-0.05429778582993672
2026-02-13,24662.94921875,24921.470703125,24514.9609375,24732.73046875,7964830000,-164.0342617461465,-82.97605498291165,26169.79470960163,24499.20236071087,1670.5923488907574,40.78208237840706,34.09187713123187,37.95721808012261,25291.9275180033,24034.774842537754,441.1891911226105,29.404232299956412,1,-0.053105939022219016
2026-02-12,25261.330078125,25310.560546875,24643.73046875,24687.609375,8855290000,-138.55128427538511,-62.711503292102805,26167.491108304846,24582.939946382652,1584.5511619221943,39.93606850718363,31.531372111428965,36.63612673853644,25314.751887360577,24027.760213128582,446.5244873531573,27.079856070688486,1,-0.05483340278731685
2026-02-11,25335.91015625,25382.83984375,24980.2890625,25201.259765625,9927010000,-99.41630556684322,-43.75155804628208,26141.269116726835,24686.994945773164,1454.2741709536713,47.039927199923625,48.79548819578487,46.69789673836722,25340.349540926312,24021.12856326053,412.6313195410402,25.200217926247834,1,-0.03516826694975677
2026-02-10,25314.23046875,25363.119140625,25113.4296875,25127.640625,8513440000,-100.31864143519124,-29.835371166141652,26174.811371412427,24707.521636400073,1467.289735012353,45.75576151861596,45.36559325919586,44.765271462535324,25346.02667461208,24009.26794816139,414.18217158587186,25.557429981185507,1,-0.0379867801389972
2026-02-09,24953.6796875,25337.5390625,24876.279296875,25268.140625,8174050000,-92.51541665894547,-12.21455359887902,26207.80936086814,24740.52560006936,1467.2837607987822,47.810203967390514,50.53367054415468,47.69918510623072,25354.940390922777,23998.028021761,439.4887436578333,27.182359931253306,1,-0.03260772926002233
2026-02-06,24655.25,25131.33984375,24622.330078125,25075.76953125,9054400000,-95.51540985641259,7.8606621661379315,26236.856162608197,24761.2907123918,1475.5654502163961,44.65054394013142,43.48106022287496,43.16575224913348,25358.48323851146,23985.26307097468,436.139355662723,28.75095701427466,1,-0.039972668056643644
2026-02-05,24614.859375,24854.560546875,24455.400390625,24548.689453125,10109230000,-78.3683451318393,33.70468017177611,26232.42539895847,24808.854483854033,1423.5709151044357,34.57274854650784,17.78917410396153,27.956946672154046,25370.022573501723,23974.303207052315,413.5991964365026,28.084235467093777,1,-0.06015196028104524
2026-02-04,25240.380859375,25275.259765625,24681.26953125,24891.240234375,10862000000,-1.676344474130019,61.722936497680706,26131.812122041767,25019.988854520736,1111.823267521031,38.84051711112431,23.2946774500206,33.06909073531929,25403.546374333422,23968.53048096113,415.82058723456873,23.41267776103758,1,-0.04703738319224566
